n,repetitions,time
     0,     1801,0.000001
    10,     1400,0.000001
    20,      899,0.000001
    30,      583,0.000002
    40,      375,0.000003
    50,      258,0.000004
    60,      177,0.000006
    70,      133,0.000008
    80,      104,0.000010
    90,       87,0.000012
   100,       72,0.000014
   200,       21,0.000049
   300,       10,0.000105
   400,        6,0.000183
   500,        4,0.000272
   600,        3,0.000382
   700,        2,0.000514
   800,        2,0.000670
   900,        2,0.000819
  1000,        1,0.001021
